"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:AR:CP:C1:MC0:CP021",1,1,0,0,0.000879288808245456,0,NA
"Num:AR:AT:C9",6,6,56.790873015873,0,0.00139294799881957,0,0.2
"Num:AR:MS:C4:MC3:MS069",1,1,0,0,0.000745135122858144,0,NA
"Num:GE:TS:C2:MC1:TS040",1,1,0,0,0.000969996397491233,0,NA
"Num:GE:GI:C0:MC0:GI032",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:TI:C9:MC9:TI088",2,2,0,0,0.00231707824262363,0,0
"Num:CC:RE:C1:MC1:RE087",1,1,0,0,0.00115717926645624,0,NA
"Num:GE:GI:C1:MC1:GI048",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:TI:C0",3,3,90,0,0.000839158804684668,0,0.333333333333333
"Num:AR:MS:C4:MC3:MS068",1,1,0,0,0.000745135122858144,0,NA
"Num:AR:FC:C26:MC26:FC130",1,1,0,0,0.00145107784888935,0,NA
"Num:AR:NS:C2:MC0:NS019",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:SB:C3:MC3:SB016",1,1,0,0,0.000774682686810164,0,NA
"Num:AR:TI:C1:MC1:TI039",1,1,0,0,0.000723983390206914,0,NA
"Num:GE:GI:C0:MC0:GI037",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:FC:C6:MC3:FC028",1,1,0,0,0.000814965226724203,0,NA
"Num:CC:RE:C0:MC0:RE012",1,1,0,0,0.000796038502194605,0,NA
"Num:AR:NS:C10:MC10:NS094",1,1,0,0,0.00175032240207933,0,NA
"Num:CC:RE:C0:MC0:RE095",1,1,0,0,0.000796038502194605,0,NA
"Num:AR:FC:C2:MC1:FC006",1,1,0,0,0.000788033172302446,0,NA
"Num:AR:MS:C6",5,5,40.0666666666667,0,0.0010553733154542,0,0.3
"Num:ST:DH:C2:MC2:DH277",1,1,0,0,0.00119644303255352,0,NA
"Num:AR:DI:C4:MC4:DI021",1,1,0,0,0.000784774281932814,0,NA
"Num:AR:WT:C9:MC8",5,5,27,0,0.00242522773644012,0,0.3
"Num:AR:AT:C2:MC0:AT004",1,1,0,0,0.000780186524355731,0,NA
"Num:AR:WT:C3:MC2:WT014",1,1,0,0,0.000748011357711054,0,NA
"Num:AR:MS:C2:MC1:MS023",1,1,0,0,0.000753314093787171,0,NA
"Num:AR:MO:C1:MC1:MO011",1,1,0,0,0.00076715928483948,0,NA
"Num:ST:DH:C1",4,4,150,0,0.00136239071908495,0,0.333333333333333
"Num:AR:TI:C1:MC1:TI028",1,1,0,0,0.000723983390206914,0,NA
"Num:AR:MO:C3",4,4,30.1,0,0.00121721998088056,0,0.333333333333333
"Num:AR:AT:C7:MC7:AT030",1,1,0,0,0.000842610083142513,0,NA
"Num:AR:FC:C6:MC3:FC021",1,1,0,0,0.000814965226724203,0,NA
"Num:AR:FC:C26:MC23",3,3,112,0,0.00177049422660554,0,0.333333333333333
"Num:AR:ML:C7:MC7:ML012",1,1,0,0,0.000833139659996281,0,NA
"Num:AR:FC:C12:MC8:FC056",1,1,0,0,0.000854078399619738,0,NA
"Num:GE:GI:C1:MC1:GI061",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:ML:C5:MC5",7,7,72.5833333333333,0,0.00125642993930274,0,0
"Num:AR:TI:C1:MC1:TI022",1,1,0,0,0.000723983390206914,0,NA
"Num:AR:SB:C0:MC0:SB004",1,1,0,0,0.000871466925109614,0,NA
"Num:GE:GI:C0:MC0:GI006",1,1,0,0,0.000766293188745355,0,NA
"Num:GE:PS:C2:MC1:PS047",1,1,0,0,0.000953477806247659,0,NA
"Num:AR:TI:C3:MC3:TI063",1,1,0,0,0.000787764872337157,0,NA
"Num:AR:WT:C1:MC1:WT005",1,1,0,0,0.00080072039356327,0,NA
"Num:AR:NS:C2:MC0:NS026",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:TI:C1:MC1:TI051",1,1,0,0,0.000723983390206914,0,NA
