Word,PoS,Theme,Category
in,preposition,,Grammatical Word
in,adjective,,Grammatical Word
India,noun,Country,Place
into,preposition,,Grammatical Word
is,verb,,Grammatical Word
it,pronoun,,Thing
it,pronoun,,Grammatical Word
its,pronoun,,Grammatical Word
Joy,noun,Feelings,Quality
jump,verb,,Action/Event
jump,verb,,Action/Event
jungle,noun,Nature,Thing
just,,,Grammatical Word
keep,,,Action/Event
key,noun,Household Items,Thing
kind,,,Quality
kitchen,noun,Household Items,Thing
knew,verb,,Action/Event
know,,,Grammatical Word
lady,noun,,Concept
lady's finger,noun,Vegetables,Thing
leaf,noun,Plants and Trees,Thing
left,adjective,Direction,Place
Legs ,noun,Body Parts,Thing
lemon,noun,Vegetables,Thing
let,,,Grammatical Word
light,noun,Household Items,Thing
light,adjective,Weight,Quality
light,,,Quality
like,adjective,,Action/Event
lion ,noun,Animals,Thing
little,adjective,,Quality
live,verb,,Action/Event
lock,noun,Household Items,Thing
long,,,Grammatical Word
look,verb,,Action/Event
made,,,Grammatical Word
make,verb,,Action/Event
man,noun,,Person
Mango,noun,Fruits,Thing
many,,,Grammatical Word
market,noun,Common Places,Place
may,verb,,Grammatical Word
me,pronoun,,Person
me,pronoun,,Person
meal,noun,Food,Thing
meat,noun,Food,Thing
milk,noun,Food,Thing
mirror,noun,Household Items,Thing
mom,noun,Relations,Person
Moon,noun,Nature,Thing
mosque,noun,Common Places,Place
mosquito,noun,Insect/Fish,Thing
mother,noun,Relations,Person
Mouth ,noun,Body Parts,Thing
much,,,Grammatical Word
mug,noun,Household Items,Thing
must,,,Grammatical Word
my,pronoun,,Grammatical Word
my,pronoun,,Grammatical Word
myself,,,Person
Nails,noun,Body Parts,Thing
name,noun, ,Concept
necklace,noun,Clothes,Thing
never,,,Grammatical Word
new,,,Quality
night,noun,,Concept
nine,noun,Numbers,Numeral/Time
no,noun,,Grammatical Word
Nose,noun,Body Parts,Thing
not,adjective,,Grammatical Word
notebook,noun,Stationery,Thing
now,,,Numeral/Time
of,preposition,,Grammatical Word
off,,,Grammatical Word
old,adjective,,Quality
on,preposition,,Grammatical Word
on,preposition,,Grammatical Word
once,,,Grammatical Word
One,noun,Numbers,Numeral/Time
